,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
600,Santa Clara,27.0,27.0,27.0,26.0,82.0
601,Fresno,17.0,16.0,17.0,17.0,110.0
602,Kern,25.0,23.0,24.0,22.0,50.0
603,Orange,24.0,24.0,23.0,23.0,59.0
608,Los Angeles,28.0,28.0,26.0,26.0,69.0
609,Los Angeles,21.0,21.0,22.0,22.0,41.0
610,San Francisco,21.0,20.0,23.0,21.0,95.0
611,Sacramento,19.0,16.0,19.0,19.0,26.0
612,Los Angeles,17.0,16.0,17.0,17.0,67.0
613,Orange,24.0,24.0,22.0,23.0,77.0
614,Los Angeles,18.0,17.0,17.0,17.0,24.0
615,Los Angeles,17.0,17.0,18.0,18.0,23.0
617,San Francisco,21.0,20.0,19.0,19.0,39.0
623,Santa Clara,22.0,20.0,22.0,21.0,36.0
625,Los Angeles,21.0,21.0,21.0,22.0,24.0
626,Los Angeles,25.0,23.0,24.0,24.0,28.0
627,Los Angeles,23.0,22.0,23.0,23.0,42.0
628,Los Angeles,25.0,23.0,24.0,23.0,79.0
633,Kern,21.0,18.0,19.0,20.0,22.0
634,Merced,18.0,16.0,18.0,18.0,45.0
635,Los Angeles,25.0,23.0,21.0,23.0,53.0
636,Tulare,21.0,19.0,20.0,21.0,38.0
637,San Diego,16.0,15.0,17.0,16.0,114.0
638,Monterey,17.0,17.0,17.0,17.0,63.0
643,Alameda,27.0,26.0,26.0,25.0,147.0
644,Los Angeles,25.0,25.0,24.0,24.0,204.0
645,San Bernardino,21.0,21.0,20.0,21.0,38.0
646,Placer,26.0,26.0,26.0,25.0,201.0
648,San Diego,22.0,20.0,22.0,21.0,97.0
649,Tulare,17.0,16.0,17.0,18.0,41.0
650,Sacramento,20.0,18.0,18.0,18.0,49.0
651,Riverside,24.0,24.0,23.0,23.0,214.0
652,Monterey,17.0,15.0,16.0,16.0,53.0
653,Butte,22.0,22.0,24.0,22.0,15.0
655,San Diego,23.0,22.0,23.0,22.0,87.0
659,Los Angeles,26.0,26.0,24.0,24.0,110.0
661,San Diego,27.0,26.0,26.0,26.0,16.0
662,Santa Clara,24.0,22.0,23.0,22.0,17.0
663,Merced,20.0,19.0,17.0,19.0,28.0
664,San Mateo,27.0,26.0,25.0,25.0,65.0
666,Glenn,18.0,18.0,18.0,19.0,30.0
668,Kings,21.0,21.0,20.0,21.0,18.0
669,Kings,21.0,20.0,19.0,20.0,17.0
671,Santa Cruz,20.0,19.0,21.0,20.0,45.0
672,Tulare,22.0,21.0,22.0,22.0,38.0
675,Los Angeles,18.0,17.0,17.0,17.0,124.0
676,Los Angeles,20.0,20.0,21.0,19.0,112.0
677,Alameda,21.0,20.0,20.0,20.0,37.0
678,Sonoma,24.0,25.0,22.0,22.0,36.0
679,San Joaquin,18.0,17.0,18.0,18.0,41.0
683,Orange,21.0,18.0,20.0,20.0,72.0
684,Los Angeles,15.0,14.0,16.0,15.0,34.0
686,San Diego,22.0,21.0,22.0,21.0,239.0
687,Riverside,25.0,22.0,21.0,20.0,18.0
688,San Diego,24.0,24.0,25.0,24.0,138.0
689,San Bernardino,16.0,14.0,16.0,16.0,467.0
690,Santa Clara,29.0,29.0,29.0,28.0,223.0
691,Fresno,17.0,15.0,17.0,17.0,31.0
693,Contra Costa,23.0,25.0,22.0,23.0,20.0
694,Riverside,19.0,18.0,18.0,19.0,150.0
695,Contra Costa,26.0,25.0,24.0,25.0,112.0
698,San Bernardino,20.0,18.0,18.0,18.0,40.0
700,San Diego,25.0,23.0,22.0,23.0,25.0
701,San Diego,22.0,19.0,19.0,19.0,16.0
702,San Diego,22.0,21.0,20.0,19.0,22.0
703,San Diego,21.0,21.0,19.0,20.0,38.0
704,San Diego,23.0,22.0,20.0,22.0,24.0
705,Los Angeles,20.0,21.0,21.0,20.0,15.0
706,Kern,22.0,19.0,20.0,20.0,22.0
707,Los Angeles,22.0,21.0,19.0,20.0,25.0
710,Los Angeles,17.0,16.0,18.0,18.0,20.0
711,Riverside,22.0,22.0,22.0,21.0,17.0
712,San Mateo,26.0,25.0,25.0,25.0,65.0
713,San Diego,21.0,20.0,20.0,21.0,73.0
714,Merced,22.0,20.0,20.0,20.0,26.0
715,Sacramento,15.0,15.0,18.0,17.0,28.0
716,Los Angeles,20.0,20.0,19.0,20.0,48.0
717,Imperial,20.0,18.0,20.0,19.0,29.0
718,Santa Clara,30.0,30.0,30.0,29.0,197.0
721,San Diego,18.0,17.0,18.0,18.0,206.0
725,Ventura,21.0,19.0,20.0,19.0,30.0
730,Orange,25.0,24.0,24.0,23.0,205.0
731,Los Angeles,16.0,16.0,17.0,17.0,44.0
732,Los Angeles,18.0,17.0,16.0,16.0,21.0
736,Alameda,18.0,18.0,19.0,18.0,23.0
737,Imperial,23.0,22.0,21.0,22.0,65.0
741,Santa Clara,21.0,20.0,21.0,21.0,86.0
745,Kern,20.0,20.0,19.0,20.0,41.0
750,Sacramento,18.0,16.0,18.0,17.0,463.0
751,San Bernardino,17.0,16.0,17.0,17.0,110.0
752,Riverside,18.0,17.0,17.0,18.0,45.0
754,Los Angeles,16.0,16.0,16.0,16.0,60.0
764,Los Angeles,26.0,25.0,23.0,23.0,54.0
765,Los Angeles,19.0,18.0,18.0,18.0,36.0
768,Orange,28.0,29.0,29.0,28.0,139.0
769,Alameda,30.0,31.0,30.0,29.0,111.0
773,Los Angeles,18.0,17.0,19.0,17.0,269.0
774,Stanislaus,23.0,22.0,22.0,22.0,88.0
776,Alameda,24.0,23.0,24.0,24.0,132.0
777,Los Angeles,20.0,19.0,20.0,19.0,51.0
778,San Mateo,19.0,20.0,19.0,19.0,19.0
779,Solano,20.0,18.0,18.0,19.0,44.0
780,Los Angeles,25.0,25.0,26.0,25.0,51.0
783,San Joaquin,24.0,22.0,23.0,23.0,25.0
784,Sacramento,24.0,22.0,24.0,23.0,70.0
785,Riverside,22.0,22.0,20.0,21.0,59.0
786,Alameda,26.0,25.0,25.0,24.0,38.0
787,Contra Costa,16.0,16.0,16.0,14.0,15.0
788,Orange,23.0,23.0,23.0,23.0,55.0
789,Los Angeles,21.0,20.0,21.0,20.0,32.0
790,Los Angeles,23.0,22.0,24.0,23.0,44.0
791,Los Angeles,16.0,16.0,17.0,17.0,43.0
792,Stanislaus,23.0,22.0,22.0,22.0,52.0
794,Los Angeles,23.0,22.0,22.0,22.0,77.0
796,Los Angeles,18.0,18.0,18.0,19.0,30.0
798,Riverside,20.0,19.0,20.0,20.0,118.0
799,San Francisco,16.0,14.0,16.0,15.0,33.0
800,Los Angeles,17.0,16.0,18.0,18.0,107.0
801,Stanislaus,24.0,23.0,23.0,23.0,80.0
805,San Bernardino,16.0,14.0,16.0,16.0,424.0
806,Riverside,18.0,17.0,19.0,19.0,98.0
807,Orange,20.0,18.0,18.0,20.0,18.0
811,San Diego,21.0,19.0,21.0,22.0,15.0
813,Lake,19.0,19.0,19.0,18.0,18.0
814,Fresno,22.0,21.0,21.0,23.0,38.0
815,Kern,22.0,21.0,21.0,22.0,20.0
818,Monterey,19.0,19.0,18.0,19.0,35.0
819,Los Angeles,21.0,19.0,19.0,19.0,102.0
820,San Diego,16.0,13.0,16.0,15.0,17.0
822,Fresno,23.0,21.0,22.0,21.0,41.0
824,Alameda,21.0,21.0,22.0,21.0,108.0
825,San Francisco,20.0,19.0,19.0,19.0,50.0
826,Santa Clara,20.0,20.0,20.0,20.0,100.0
828,Los Angeles,26.0,26.0,21.0,22.0,36.0
829,Los Angeles,29.0,29.0,29.0,28.0,138.0
830,San Diego,25.0,26.0,25.0,25.0,248.0
832,Orange,24.0,23.0,22.0,22.0,59.0
833,San Diego,29.0,29.0,27.0,27.0,112.0
834,Los Angeles,24.0,23.0,21.0,21.0,42.0
835,Los Angeles,22.0,20.0,21.0,20.0,41.0
836,Orange,24.0,25.0,25.0,23.0,199.0
837,Riverside,22.0,20.0,20.0,21.0,62.0
838,Los Angeles,23.0,22.0,23.0,22.0,70.0
839,Riverside,18.0,18.0,19.0,19.0,61.0
843,Orange,26.0,27.0,26.0,26.0,165.0
844,Sacramento,24.0,23.0,23.0,23.0,85.0
845,Orange,26.0,26.0,25.0,24.0,66.0
847,Riverside,19.0,18.0,19.0,19.0,92.0
848,Los Angeles,22.0,21.0,21.0,21.0,38.0
849,Los Angeles,21.0,21.0,19.0,20.0,45.0
852,Contra Costa,26.0,26.0,25.0,25.0,128.0
854,Lassen,22.0,21.0,21.0,21.0,27.0
855,San Joaquin,21.0,21.0,21.0,21.0,32.0
858,Los Angeles,18.0,17.0,17.0,18.0,28.0
860,Merced,17.0,15.0,17.0,17.0,33.0
861,San Francisco,17.0,15.0,16.0,16.0,26.0
862,Alameda,19.0,18.0,19.0,19.0,134.0
863,Contra Costa,17.0,15.0,17.0,16.0,148.0
869,Santa Clara,28.0,28.0,28.0,27.0,133.0
870,Santa Clara,29.0,30.0,29.0,28.0,164.0
871,Kings,20.0,19.0,19.0,19.0,81.0
873,Los Angeles,18.0,17.0,19.0,18.0,105.0
874,Sacramento,17.0,16.0,17.0,17.0,69.0
875,Los Angeles,18.0,17.0,17.0,17.0,33.0
876,Madera,23.0,24.0,22.0,22.0,17.0
877,Kern,23.0,22.0,22.0,22.0,60.0
878,Contra Costa,24.0,22.0,22.0,22.0,82.0
880,Sacramento,23.0,23.0,22.0,22.0,32.0
881,Alameda,20.0,20.0,20.0,20.0,27.0
882,Los Angeles,16.0,14.0,16.0,15.0,36.0
884,San Francisco,22.0,21.0,22.0,21.0,112.0
885,San Diego,18.0,17.0,18.0,18.0,81.0
886,Placer,24.0,23.0,22.0,23.0,57.0
887,San Joaquin,23.0,22.0,23.0,23.0,59.0
888,Los Angeles,16.0,16.0,17.0,17.0,88.0
889,Los Angeles,18.0,18.0,18.0,18.0,37.0
890,Los Angeles,16.0,15.0,16.0,17.0,61.0
891,San Joaquin,22.0,21.0,20.0,21.0,33.0
892,Yuba,22.0,18.0,20.0,20.0,19.0
894,San Diego,23.0,23.0,25.0,24.0,18.0
895,Los Angeles,16.0,15.0,16.0,16.0,25.0
896,Sutter,19.0,20.0,20.0,20.0,33.0
897,Santa Clara,23.0,22.0,22.0,21.0,32.0
898,Alameda,25.0,24.0,24.0,24.0,99.0
899,Merced,20.0,18.0,19.0,20.0,51.0
900,Orange,18.0,18.0,18.0,19.0,53.0
901,San Joaquin,23.0,22.0,23.0,22.0,121.0
905,Orange,26.0,27.0,26.0,25.0,262.0
906,Los Angeles,21.0,21.0,21.0,22.0,30.0
907,Santa Clara,29.0,29.0,28.0,28.0,168.0
908,Orange,18.0,17.0,18.0,18.0,163.0
910,Los Angeles,27.0,28.0,28.0,27.0,61.0
911,Los Angeles,22.0,22.0,18.0,20.0,17.0
915,Merced,21.0,20.0,20.0,20.0,19.0
916,Santa Clara,29.0,29.0,28.0,28.0,187.0
917,Tehama,17.0,15.0,17.0,17.0,38.0
918,San Bernardino,24.0,24.0,25.0,24.0,149.0
919,San Francisco,28.0,28.0,28.0,26.0,244.0
922,Alameda,15.0,13.0,16.0,16.0,99.0
924,Santa Clara,17.0,15.0,16.0,15.0,22.0
925,Sacramento,18.0,16.0,17.0,18.0,62.0
926,Santa Clara,32.0,32.0,32.0,31.0,172.0
927,Los Angeles,18.0,17.0,17.0,17.0,92.0
929,Madera,20.0,19.0,19.0,20.0,128.0
930,Madera,17.0,15.0,17.0,17.0,141.0
931,San Diego,20.0,19.0,19.0,20.0,39.0
940,Contra Costa,20.0,19.0,20.0,19.0,20.0
941,Los Angeles,26.0,26.0,24.0,24.0,36.0
942,Mono,26.0,25.0,23.0,24.0,19.0
944,San Joaquin,23.0,23.0,22.0,22.0,16.0
945,Los Angeles,15.0,14.0,16.0,16.0,80.0
946,San Diego,20.0,19.0,19.0,20.0,55.0
947,Los Angeles,18.0,17.0,17.0,17.0,68.0
948,Sonoma,29.0,28.0,27.0,27.0,81.0
951,Orange,27.0,26.0,26.0,25.0,84.0
952,Mariposa,24.0,22.0,23.0,22.0,16.0
953,Los Angeles,27.0,27.0,27.0,26.0,91.0
954,San Francisco,16.0,14.0,18.0,17.0,23.0
955,Los Angeles,24.0,23.0,23.0,23.0,50.0
956,Riverside,24.0,23.0,24.0,24.0,148.0
958,Yuba,19.0,18.0,19.0,18.0,22.0
959,Los Angeles,16.0,16.0,18.0,17.0,148.0
960,Los Angeles,19.0,19.0,19.0,19.0,66.0
964,Los Angeles,25.0,24.0,22.0,23.0,24.0
965,Los Angeles,18.0,16.0,17.0,18.0,26.0
967,Alameda,14.0,13.0,15.0,14.0,45.0
968,Kern,18.0,16.0,19.0,17.0,16.0
970,Fresno,17.0,15.0,17.0,17.0,51.0
972,Fresno,16.0,15.0,17.0,16.0,82.0
973,San Mateo,28.0,27.0,27.0,26.0,133.0
974,Merced,20.0,19.0,20.0,20.0,52.0
976,San Joaquin,20.0,19.0,19.0,20.0,65.0
977,Sacramento,20.0,19.0,19.0,19.0,27.0
980,Contra Costa,22.0,20.0,20.0,20.0,21.0
981,Orange,19.0,17.0,19.0,19.0,79.0
982,San Joaquin,26.0,26.0,24.0,24.0,44.0
983,Los Angeles,19.0,19.0,19.0,18.0,26.0
984,San Bernardino,20.0,19.0,20.0,20.0,47.0
990,Los Angeles,24.0,23.0,23.0,23.0,71.0
991,San Mateo,27.0,27.0,28.0,27.0,82.0
992,Santa Clara,26.0,27.0,27.0,26.0,72.0
993,Madera,22.0,20.0,20.0,21.0,17.0
995,Los Angeles,28.0,28.0,27.0,27.0,269.0
996,Sacramento,29.0,30.0,29.0,28.0,71.0
997,San Diego,23.0,22.0,23.0,22.0,65.0
999,Contra Costa,29.0,29.0,28.0,28.0,149.0
1001,San Diego,22.0,21.0,21.0,21.0,51.0
1003,San Francisco,17.0,15.0,17.0,16.0,98.0
1004,San Diego,23.0,21.0,21.0,22.0,178.0
1005,Tulare,21.0,21.0,21.0,21.0,18.0
1006,Alameda,31.0,32.0,32.0,30.0,157.0
1007,Orange,26.0,25.0,25.0,25.0,148.0
1009,San Diego,27.0,25.0,25.0,24.0,92.0
1010,Solano,20.0,20.0,18.0,20.0,15.0
1011,Stanislaus,20.0,19.0,20.0,19.0,163.0
1012,Modoc,17.0,15.0,17.0,18.0,40.0
1014,Kern,16.0,13.0,16.0,16.0,27.0
1022,Tulare,19.0,17.0,18.0,19.0,105.0
1024,Los Angeles,21.0,19.0,19.0,19.0,53.0
1025,Santa Clara,31.0,32.0,32.0,31.0,212.0
1026,San Bernardino,19.0,17.0,19.0,19.0,257.0
1028,San Diego,26.0,24.0,25.0,24.0,22.0
1030,Contra Costa,27.0,27.0,26.0,26.0,293.0
1031,Los Angeles,18.0,18.0,19.0,18.0,35.0
1033,Monterey,23.0,22.0,22.0,21.0,45.0
1034,Sacramento,21.0,20.0,21.0,21.0,117.0
1035,Sonoma,24.0,23.0,25.0,24.0,47.0
1036,San Diego,18.0,18.0,18.0,19.0,62.0
1037,Ventura,25.0,24.0,25.0,24.0,108.0
1038,Riverside,21.0,19.0,20.0,19.0,39.0
1040,Los Angeles,17.0,15.0,16.0,16.0,51.0
1041,San Luis Obispo,26.0,25.0,23.0,24.0,35.0
1042,San Diego,21.0,21.0,21.0,20.0,55.0
1043,San Diego,19.0,18.0,20.0,19.0,27.0
1046,San Joaquin,28.0,27.0,26.0,26.0,52.0
1050,Santa Clara,28.0,28.0,27.0,27.0,174.0
1051,Los Angeles,21.0,19.0,19.0,19.0,51.0
1052,San Diego,27.0,26.0,26.0,25.0,134.0
1053,Contra Costa,19.0,18.0,19.0,19.0,30.0
1054,Alameda,22.0,21.0,20.0,21.0,38.0
1059,Tulare,22.0,20.0,21.0,21.0,20.0
1062,Riverside,22.0,21.0,21.0,21.0,151.0
1063,Riverside,23.0,22.0,22.0,22.0,142.0
1064,Napa,22.0,22.0,22.0,22.0,59.0
1066,Los Angeles,21.0,19.0,20.0,21.0,50.0
1069,Sacramento,23.0,24.0,22.0,22.0,18.0
1070,Sacramento,15.0,13.0,16.0,15.0,199.0
1071,Sacramento,25.0,23.0,23.0,22.0,17.0
1075,Nevada,27.0,25.0,25.0,24.0,34.0
1077,Los Angeles,17.0,16.0,18.0,17.0,68.0
1078,Los Angeles,14.0,11.0,15.0,15.0,25.0
1085,Los Angeles,27.0,28.0,24.0,25.0,19.0
1086,Alameda,22.0,22.0,22.0,22.0,31.0
1087,Ventura,27.0,26.0,26.0,25.0,154.0
1088,Orange,25.0,25.0,24.0,24.0,237.0
1089,San Luis Obispo,22.0,21.0,21.0,23.0,23.0
1090,Los Angeles,19.0,17.0,18.0,19.0,68.0
1091,Riverside,23.0,21.0,22.0,22.0,58.0
1092,Ventura,26.0,26.0,24.0,24.0,15.0
1093,Riverside,20.0,18.0,19.0,18.0,63.0
1096,Kern,22.0,20.0,20.0,21.0,16.0
1097,Los Angeles,24.0,23.0,24.0,23.0,73.0
1098,Los Angeles,27.0,27.0,26.0,25.0,52.0
1100,Monterey,19.0,17.0,18.0,20.0,42.0
1102,Monterey,20.0,19.0,19.0,19.0,50.0
1105,Placer,26.0,24.0,25.0,25.0,32.0
1111,Contra Costa,27.0,27.0,26.0,26.0,180.0
1113,Los Angeles,20.0,18.0,20.0,19.0,46.0
1115,Orange,29.0,30.0,29.0,29.0,234.0
1116,Los Angeles,19.0,17.0,17.0,18.0,86.0
1117,Riverside,20.0,18.0,19.0,19.0,15.0
1118,Orange,19.0,17.0,18.0,19.0,42.0
1120,Marin,23.0,23.0,23.0,22.0,88.0
1121,Riverside,19.0,17.0,20.0,19.0,169.0
1122,Santa Clara,23.0,22.0,23.0,22.0,37.0
1123,San Bernardino,20.0,18.0,20.0,19.0,154.0
1124,Ventura,29.0,29.0,27.0,27.0,152.0
1126,El Dorado,26.0,26.0,27.0,26.0,201.0
1129,Stanislaus,25.0,24.0,24.0,23.0,37.0
1130,Alameda,23.0,22.0,25.0,22.0,18.0
1131,Alameda,19.0,19.0,19.0,19.0,74.0
1134,Alameda,26.0,26.0,21.0,23.0,30.0
1135,Alameda,26.0,25.0,25.0,24.0,131.0
1136,Alameda,17.0,15.0,19.0,18.0,53.0
1137,Placer,26.0,25.0,25.0,25.0,74.0
1142,Orange,23.0,23.0,22.0,24.0,19.0
1144,San Diego,21.0,19.0,20.0,20.0,76.0
1145,San Francisco,17.0,16.0,17.0,18.0,38.0
1146,Orange,29.0,29.0,25.0,26.0,190.0
1151,San Diego,23.0,22.0,22.0,22.0,98.0
1152,San Bernardino,19.0,17.0,19.0,18.0,81.0
1166,Fresno,16.0,15.0,16.0,16.0,33.0
1167,San Diego,19.0,18.0,18.0,19.0,101.0
1171,Santa Barbara,25.0,26.0,25.0,25.0,49.0
1172,Stanislaus,23.0,22.0,23.0,22.0,18.0
1173,Glenn,23.0,21.0,19.0,21.0,37.0
1174,Tulare,17.0,15.0,17.0,17.0,85.0
1175,Butte,21.0,19.0,20.0,21.0,19.0
1176,Los Angeles,18.0,17.0,18.0,19.0,69.0
1178,San Diego,22.0,21.0,21.0,20.0,67.0
1180,Orange,31.0,32.0,30.0,30.0,56.0
